ID,Category,Meal,Dish,Description,Calories,Protein,Carbs,Fats,Fiber
20,Vegan,Evening Snack,"Moong Sprouts Salad","A delicious evening snack meal featuring Moong Sprouts Salad - providing excellent macronutrients.",120,10.0,18.0,1.0,6.0
21,Vegan,Lunch,"Yellow Dal Tadka with Roti","A balanced lunch meal featuring Yellow Dal Tadka with Roti - prepared with minimal oil.",224,10.0,40.0,4.0,8.0
22,Vegan,Lunch,"Rajma Curry and Bowls Rice and Baingan Bharta","A high-protein lunch meal featuring Rajma Curry and Bowls Rice and Baingan Bharta - prepared with minimal oil.",570,14.0,98.0,11.0,16.0
23,Vegan,Dinner,"Yellow Dal Tadka with Roti","A healthy dinner meal featuring Yellow Dal Tadka with Roti - providing excellent macronutrients.",224,10.0,40.0,4.0,8.0
24,Vegan,Dinner,"Bhindi Masala with Quinoa (Bowl)","A healthy dinner meal featuring Bhindi Masala with Quinoa (Bowl) - cooked in traditional Indian style.",240,6.4,35.0,8.0,6.8
25,Vegan,Breakfast,"Poha","A delicious breakfast meal featuring Poha - prepared with minimal oil.",180,3.0,39.0,1.5,2.0
26,Vegan,Breakfast,"Idlis with Cucumber Carrot Salad","A healthy breakfast meal featuring Idlis with Cucumber Carrot Salad - cooked in traditional Indian style.",156,5.0,33.0,0.4,4.5
27,Vegan,Mid Morning Snack,"Vegan Protein Shake","A healthy mid morning snack meal featuring Vegan Protein Shake - cooked in traditional Indian style.",115,22.0,4.0,1.5,1.0
28,Vegan,Evening Snack,"Vegan Protein Shake","A high-protein evening snack meal featuring Vegan Protein Shake - providing excellent macronutrients.",115,22.0,4.0,1.5,1.0
29,Vegan,Lunch,"Yellow Dal Tadka with Bowl Rice","A healthy lunch meal featuring Yellow Dal Tadka with Bowl Rice - providing excellent macronutrients.",250,9.0,46.0,3.0,6.0
30,Vegan,Lunch,"Tofu Curry and Bowl Rice and Aloo Gobi","A nutrient-rich lunch meal featuring Tofu Curry and Bowl Rice and Aloo Gobi - prepared with minimal oil.",420,19.0,52.0,15.0,8.0
31,Vegan,Dinner,"Lobia Curry with Bowls Rice","A home-style dinner meal featuring Lobia Curry with Bowls Rice - prepared with minimal oil.",420,11.0,80.0,3.0,9.0
32,Vegan,Dinner,"Mushroom Do Pyaza with Jeera Rice","A high-protein dinner meal featuring Mushroom Do Pyaza with Jeera Rice - prepared with minimal oil.",260,6.5,38.0,9.0,4.2
33,Vegan,Breakfast,"Oats","A delicious breakfast meal featuring Oats - prepared with minimal oil.",154,5.0,27.0,3.0,4.0
34,Vegan,Breakfast,"Moong Dal Chilla with Cucumber Carrot Salad","A delicious breakfast meal featuring Moong Dal Chilla with Cucumber Carrot Salad - perfect for your dietary goals.",180,9.0,26.0,4.0,7.0
35,Vegan,Mid Morning Snack,"Mixed Nuts (30g)","A nutrient-rich mid morning snack meal featuring Mixed Nuts (30g) - perfect for your dietary goals.",180,6.0,6.0,15.0,3.0
36,Vegan,Evening Snack,"Mixed Nuts (30g)","A balanced evening snack meal featuring Mixed Nuts (30g) - perfect for your dietary goals.",180,6.0,6.0,15.0,3.0
37,Vegan,Lunch,"Lobia Curry with Rotis","A balanced lunch meal featuring Lobia Curry with Rotis - perfect for your dietary goals.",368,13.0,68.0,5.0,13.0
38,Vegan,Lunch,"Toor Dal and Bowl Rice and Lauki Sabzi","A balanced lunch meal featuring Toor Dal and Bowl Rice and Lauki Sabzi - prepared with minimal oil.",310,9.0,55.0,5.0,9.0
39,Vegan,Dinner,"Vegan Dal Makhani (Coconut Milk) with Millet Rotis","A delicious dinner meal featuring Vegan Dal Makhani (Coconut Milk) with Millet Rotis - prepared with minimal oil.",450,15.0,62.0,13.0,15.0
40,Vegan,Dinner,"Cabbage Poriyal with Quinoa (Bowl)","A nutrient-rich dinner meal featuring Cabbage Poriyal with Quinoa (Bowl) - cooked in traditional Indian style.",210,6.4,33.0,6.0,6.8
41,Vegan,Breakfast,"4 Idlis","A balanced breakfast meal featuring 4 Idlis - providing excellent macronutrients.",232,8.0,48.0,0.8,3.0
42,Vegan,Breakfast,"Gobi Paratha with Vegan Protein Shake","A home-style breakfast meal featuring Gobi Paratha with Vegan Protein Shake - perfect for your dietary goals.",335,27.0,37.0,8.5,6.0
43,Vegan,Mid Morning Snack,"Vegan Protein Shake","A nutrient-rich mid morning snack meal featuring Vegan Protein Shake - perfect for your dietary goals.",115,22.0,4.0,1.5,1.0
44,Vegan,Evening Snack,"Vegan Protein Shake","A balanced evening snack meal featuring Vegan Protein Shake - perfect for your dietary goals.",115,22.0,4.0,1.5,1.0
45,Vegan,Lunch,"Toor Dal with Roti","A balanced lunch meal featuring Toor Dal with Roti - providing excellent macronutrients.",214,9.0,39.0,3.0,8.0
46,Vegan,Lunch,"Toor Dal and Brown Rice (Bowl) and Aloo Gobi","A nutrient-rich lunch meal featuring Toor Dal and Brown Rice (Bowl) and Aloo Gobi - perfect for your dietary goals.",330,12.0,57.0,7.0,13.5
47,Vegan,Dinner,"Rajma Curry with Bowls Rice","A balanced dinner meal featuring Rajma Curry with Bowls Rice - cooked in traditional Indian style.",440,12.0,82.0,4.0,10.0
48,Vegan,Dinner,"Aloo Gobi with Bowls Rice","A nutrient-rich dinner meal featuring Aloo Gobi with Bowls Rice - cooked in traditional Indian style.",305,6.0,60.0,4.0,6.5
49,Vegan,Breakfast,"Aloo Paratha","A delicious breakfast meal featuring Aloo Paratha - cooked in traditional Indian style.",230,5.0,35.0,8.0,4.0
50,Vegan,Breakfast,"Plain Dosa with Fruit Bowl (Apple & Papaya)","A delicious breakfast meal featuring Plain Dosa with Fruit Bowl (Apple & Papaya) - providing excellent macronutrients.",223,4.0,45.0,3.0,5.0
51,Vegan,Mid Morning Snack,"Roasted Chana","A home-style mid morning snack meal featuring Roasted Chana - providing excellent macronutrients.",120,6.0,18.0,2.0,5.0
52,Vegan,Evening Snack,"Moong Sprouts Salad","A home-style evening snack meal featuring Moong Sprouts Salad - providing excellent macronutrients.",120,10.0,18.0,1.0,6.0
53,Vegan,Lunch,"Rajma Curry with Bowl Rice","A delicious lunch meal featuring Rajma Curry with Bowl Rice - cooked in traditional Indian style.",310,10.0,54.0,4.0,9.0
54,Vegan,Lunch,"Rajma Curry and Millet Roti and Lauki Sabzi","A balanced lunch meal featuring Rajma Curry and Millet Roti and Lauki Sabzi - cooked in traditional Indian style.",365,12.5,56.0,8.5,15.0
55,Vegan,Dinner,"Vegan Dal Makhani (Coconut Milk) with Jeera Rice","A high-protein dinner meal featuring Vegan Dal Makhani (Coconut Milk) with Jeera Rice - cooked in traditional Indian style.",370,10.5,50.0,13.0,8.2
56,Vegan,Dinner,"Mushroom Do Pyaza with 3 Rotis","A healthy dinner meal featuring Mushroom Do Pyaza with 3 Rotis - perfect for your dietary goals.",422,13.0,76.0,9.0,12.0
57,Vegan,Breakfast,"Dalia","A high-protein breakfast meal featuring Dalia - cooked in traditional Indian style.",160,4.0,32.0,1.0,5.0
58,Vegan,Breakfast,"Gobi Paratha with Cucumber Carrot Salad","A home-style breakfast meal featuring Gobi Paratha with Cucumber Carrot Salad - providing excellent macronutrients.",260,6.0,42.0,7.0,8.0
59,Vegan,Mid Morning Snack,"Fruit Bowl (Apple & Papaya)","A healthy mid morning snack meal featuring Fruit Bowl (Apple & Papaya) - perfect for your dietary goals.",90,1.0,22.0,0.0,4.0
60,Vegan,Evening Snack,"Roasted Makhana","A nutrient-rich evening snack meal featuring Roasted Makhana - providing excellent macronutrients.",110,3.0,20.0,2.0,4.0
61,Vegan,Lunch,"Vegan Dal Makhani (Coconut Milk) with Millet Roti","A home-style lunch meal featuring Vegan Dal Makhani (Coconut Milk) with Millet Roti - prepared with minimal oil.",335,11.5,42.0,11.5,11.0
62,Vegan,Lunch,"Lobia Curry and Millet Rotis and Bhindi Masala","A balanced lunch meal featuring Lobia Curry and Millet Rotis and Bhindi Masala - cooked in traditional Indian style.",510,16.0,78.0,12.0,19.0
63,Vegan,Dinner,"Chana Masala with Millet Roti","A healthy dinner meal featuring Chana Masala with Millet Roti - prepared with minimal oil.",285,11.5,45.0,6.5,11.0
64,Vegan,Dinner,"Cabbage Poriyal with Roti","A home-style dinner meal featuring Cabbage Poriyal with Roti - providing excellent macronutrients.",194,5.0,34.0,5.0,7.0
65,Vegan,Breakfast,"3 Idlis","A delicious breakfast meal featuring 3 Idlis - cooked in traditional Indian style.",174,6.0,36.0,0.6,2.2
66,Vegan,Breakfast,"Masala Dosa with Fruit Bowl (Apple & Papaya)","A delicious breakfast meal featuring Masala Dosa with Fruit Bowl (Apple & Papaya) - cooked in traditional Indian style.",350,6.0,64.0,8.0,8.0
67,Vegan,Mid Morning Snack,"Vegan Protein Shake","A high-protein mid morning snack meal featuring Vegan Protein Shake - providing excellent macronutrients.",115,22.0,4.0,1.5,1.0
68,Vegan,Evening Snack,"Cucumber Carrot Salad","A delicious evening snack meal featuring Cucumber Carrot Salad - perfect for your dietary goals.",40,1.0,9.0,0.0,3.0
69,Vegan,Lunch,"Soya Chunks Curry with Quinoa (Bowl)","A high-protein lunch meal featuring Soya Chunks Curry with Quinoa (Bowl) - perfect for your dietary goals.",270,22.4,33.0,5.0,7.8
70,Vegan,Lunch,"Yellow Dal Tadka and Jeera Rice and Bhindi Masala","A balanced lunch meal featuring Yellow Dal Tadka and Jeera Rice and Bhindi Masala - perfect for your dietary goals.",390,11.5,60.0,12.0,10.2
71,Vegan,Dinner,"Toor Dal with Roti","A nutrient-rich dinner meal featuring Toor Dal with Roti - cooked in traditional Indian style.",214,9.0,39.0,3.0,8.0
72,Vegan,Dinner,"Aloo Gobi with Jeera Rice","A nutrient-rich dinner meal featuring Aloo Gobi with Jeera Rice - cooked in traditional Indian style.",260,5.5,46.0,7.0,6.2
73,Vegan,Breakfast,"Masala Dosa","A home-style breakfast meal featuring Masala Dosa - cooked in traditional Indian style.",260,5.0,42.0,8.0,4.0
74,Vegan,Breakfast,"Appam with Moong Sprouts Salad","A balanced breakfast meal featuring Appam with Moong Sprouts Salad - prepared with minimal oil.",240,12.0,43.0,2.5,7.0
75,Vegan,Mid Morning Snack,"Cucumber Carrot Salad","A high-protein mid morning snack meal featuring Cucumber Carrot Salad - perfect for your dietary goals.",40,1.0,9.0,0.0,3.0
76,Vegan,Evening Snack,"Fruit Bowl (Apple & Papaya)","A nutrient-rich evening snack meal featuring Fruit Bowl (Apple & Papaya) - cooked in traditional Indian style.",90,1.0,22.0,0.0,4.0
77,Vegan,Lunch,"Tofu Curry with Millet Rotis","A high-protein lunch meal featuring Tofu Curry with Millet Rotis - cooked in traditional Indian style.",410,21.0,46.0,14.0,10.0
78,Vegan,Lunch,"Lobia Curry and Millet Roti and Mushroom Do Pyaza","A high-protein lunch meal featuring Lobia Curry and Millet Roti and Mushroom Do Pyaza - perfect for your dietary goals.",385,14.5,54.0,10.5,14.0
79,Vegan,Dinner,"Toor Dal with Millet Roti","A high-protein dinner meal featuring Toor Dal with Millet Roti - perfect for your dietary goals.",225,9.5,37.0,3.5,9.0
80,Vegan,Dinner,"Cabbage Poriyal with Jeera Rice","A nutrient-rich dinner meal featuring Cabbage Poriyal with Jeera Rice - prepared with minimal oil.",240,4.5,40.0,7.0,5.2
81,Vegan,Breakfast,"Besan Chilla","A high-protein breakfast meal featuring Besan Chilla - prepared with minimal oil.",150,7.0,18.0,5.0,4.0
82,Vegan,Breakfast,"Dalia with Vegan Protein Shake","A high-protein breakfast meal featuring Dalia with Vegan Protein Shake - providing excellent macronutrients.",275,26.0,36.0,2.5,6.0
83,Vegan,Mid Morning Snack,"Chana Chaat","A home-style mid morning snack meal featuring Chana Chaat - providing excellent macronutrients.",140,7.0,22.0,2.0,6.0
84,Vegan,Evening Snack,"Roasted Makhana","A balanced evening snack meal featuring Roasted Makhana - cooked in traditional Indian style.",110,3.0,20.0,2.0,4.0
85,Vegan,Lunch,"Chana Masala with Millet Rotis","A home-style lunch meal featuring Chana Masala with Millet Rotis - providing excellent macronutrients.",400,15.0,65.0,8.0,15.0
86,Vegan,Lunch,"Lobia Curry and Bowls Rice and Lauki Sabzi","A home-style lunch meal featuring Lobia Curry and Bowls Rice and Lauki Sabzi - prepared with minimal oil.",490,12.0,90.0,6.0,12.0
87,Vegan,Dinner,"Chana Masala with Brown Rice (Bowl)","A delicious dinner meal featuring Chana Masala with Brown Rice (Bowl) - perfect for your dietary goals.",280,11.0,47.0,6.0,10.5
88,Vegan,Dinner,"Cabbage Poriyal with Millet Rotis","A high-protein dinner meal featuring Cabbage Poriyal with Millet Rotis - cooked in traditional Indian style.",320,9.0,52.0,7.0,12.0
89,Vegan,Breakfast,"Plain Dosa","A delicious breakfast meal featuring Plain Dosa - cooked in traditional Indian style.",133,3.0,23.0,3.0,1.0
90,Vegan,Breakfast,"4 Idlis with Masala Oats","A high-protein breakfast meal featuring 4 Idlis with Masala Oats - providing excellent macronutrients.",372,13.0,72.0,3.8,7.0
91,Vegan,Mid Morning Snack,"Masala Oats","A high-protein mid morning snack meal featuring Masala Oats - cooked in traditional Indian style.",140,5.0,24.0,3.0,4.0
92,Vegan,Evening Snack,"Roasted Chana","A delicious evening snack meal featuring Roasted Chana - prepared with minimal oil.",120,6.0,18.0,2.0,5.0
93,Vegan,Lunch,"Yellow Dal Tadka with Bowl Rice","A high-protein lunch meal featuring Yellow Dal Tadka with Bowl Rice - cooked in traditional Indian style.",250,9.0,46.0,3.0,6.0
94,Vegan,Lunch,"Vegan Dal Makhani (Coconut Milk) and Quinoa (Bowl) and Mushroom Do Pyaza","A high-protein lunch meal featuring Vegan Dal Makhani (Coconut Milk) and Quinoa (Bowl) and Mushroom Do Pyaza - prepared with minimal oil.",450,16.4,53.0,18.0,12.8
95,Vegan,Dinner,"Toor Dal with Roti","A home-style dinner meal featuring Toor Dal with Roti - cooked in traditional Indian style.",214,9.0,39.0,3.0,8.0
96,Vegan,Dinner,"Lauki Sabzi with Roti","A home-style dinner meal featuring Lauki Sabzi with Roti - prepared with minimal oil.",174,4.0,32.0,4.0,6.0
97,Vegan,Breakfast,"4 Idlis","A delicious breakfast meal featuring 4 Idlis - perfect for your dietary goals.",232,8.0,48.0,0.8,3.0
98,Vegan,Breakfast,"4 Idlis with Masala Oats","A home-style breakfast meal featuring 4 Idlis with Masala Oats - perfect for your dietary goals.",372,13.0,72.0,3.8,7.0
99,Vegan,Mid Morning Snack,"Cucumber Carrot Salad","A balanced mid morning snack meal featuring Cucumber Carrot Salad - perfect for your dietary goals.",40,1.0,9.0,0.0,3.0
100,Vegan,Evening Snack,"Moong Sprouts Salad","A healthy evening snack meal featuring Moong Sprouts Salad - providing excellent macronutrients.",120,10.0,18.0,1.0,6.0
101,Vegan,Lunch,"Lobia Curry with Bowls Rice","A balanced lunch meal featuring Lobia Curry with Bowls Rice - prepared with minimal oil.",355,10.0,66.0,3.0,8.5
102,Vegan,Lunch,"Lobia Curry and Millet Roti and Cabbage Poriyal","A healthy lunch meal featuring Lobia Curry and Millet Roti and Cabbage Poriyal - cooked in traditional Indian style.",365,12.5,56.0,8.5,15.0
103,Vegan,Dinner,"Soya Chunks Curry with Millet Roti","A nutrient-rich dinner meal featuring Soya Chunks Curry with Millet Roti - prepared with minimal oil.",265,21.5,32.0,4.5,9.0
104,Vegan,Dinner,"Cabbage Poriyal with Bowls Rice","A high-protein dinner meal featuring Cabbage Poriyal with Bowls Rice - providing excellent macronutrients.",285,5.0,54.0,4.0,5.5
105,Vegan,Breakfast,"Oats","A delicious breakfast meal featuring Oats - prepared with minimal oil.",154,5.0,27.0,3.0,4.0
106,Vegan,Breakfast,"Upma with Roasted Makhana","A nutrient-rich breakfast meal featuring Upma with Roasted Makhana - providing excellent macronutrients.",300,7.0,55.0,5.0,7.0
107,Vegan,Mid Morning Snack,"Chana Chaat","A balanced mid morning snack meal featuring Chana Chaat - cooked in traditional Indian style.",140,7.0,22.0,2.0,6.0
108,Vegan,Evening Snack,"Mixed Nuts (30g)","A high-protein evening snack meal featuring Mixed Nuts (30g) - providing excellent macronutrients.",180,6.0,6.0,15.0,3.0
109,Vegan,Lunch,"Vegan Dal Makhani (Coconut Milk) with Roti","A home-style lunch meal featuring Vegan Dal Makhani (Coconut Milk) with Roti - providing excellent macronutrients.",324,11.0,44.0,11.0,10.0
110,Vegan,Lunch,"Chana Masala and Millet Roti and Cabbage Poriyal","A high-protein lunch meal featuring Chana Masala and Millet Roti and Cabbage Poriyal - perfect for your dietary goals.",375,13.5,57.0,10.5,15.0
111,Vegan,Dinner,"Yellow Dal Tadka with 3 Rotis","A balanced dinner meal featuring Yellow Dal Tadka with 3 Rotis - providing excellent macronutrients.",432,16.0,84.0,6.0,14.0
112,Vegan,Dinner,"Cabbage Poriyal with Bowls Rice","A nutrient-rich dinner meal featuring Cabbage Poriyal with Bowls Rice - perfect for your dietary goals.",350,6.0,68.0,4.0,6.0
113,Vegan,Breakfast,"Besan Chilla","A healthy breakfast meal featuring Besan Chilla - prepared with minimal oil.",150,7.0,18.0,5.0,4.0
114,Vegan,Breakfast,"Besan Chilla with Roasted Makhana","A nutrient-rich breakfast meal featuring Besan Chilla with Roasted Makhana - prepared with minimal oil.",260,10.0,38.0,7.0,8.0
115,Vegan,Mid Morning Snack,"Roasted Chana","A high-protein mid morning snack meal featuring Roasted Chana - cooked in traditional Indian style.",120,6.0,18.0,2.0,5.0
116,Vegan,Evening Snack,"Fruit Bowl (Apple & Papaya)","A nutrient-rich evening snack meal featuring Fruit Bowl (Apple & Papaya) - cooked in traditional Indian style.",90,1.0,22.0,0.0,4.0
117,Vegan,Lunch,"Yellow Dal Tadka with 3 Rotis","A high-protein lunch meal featuring Yellow Dal Tadka with 3 Rotis - prepared with minimal oil.",432,16.0,84.0,6.0,14.0
118,Vegan,Lunch,"Tofu Curry and Bowls Rice and Aloo Gobi","A nutrient-rich lunch meal featuring Tofu Curry and Bowls Rice and Aloo Gobi - cooked in traditional Indian style.",485,20.0,66.0,15.0,8.5
119,Vegan,Dinner,"Chana Masala with Roti","A nutrient-rich dinner meal featuring Chana Masala with Roti - prepared with minimal oil.",274,11.0,47.0,6.0,10.0
120,Vegan,Dinner,"Cabbage Poriyal with Bowls Rice","A healthy dinner meal featuring Cabbage Poriyal with Bowls Rice - perfect for your dietary goals.",350,6.0,68.0,4.0,6.0
121,Vegan,Breakfast,"4 Idlis","A delicious breakfast meal featuring 4 Idlis - perfect for your dietary goals.",232,8.0,48.0,0.8,3.0
122,Vegan,Breakfast,"Aloo Paratha with Roasted Chana","A nutrient-rich breakfast meal featuring Aloo Paratha with Roasted Chana - perfect for your dietary goals.",350,11.0,53.0,10.0,9.0
123,Vegan,Mid Morning Snack,"Mixed Nuts (30g)","A high-protein mid morning snack meal featuring Mixed Nuts (30g) - cooked in traditional Indian style.",180,6.0,6.0,15.0,3.0
124,Vegan,Evening Snack,"Vegan Protein Shake","A nutrient-rich evening snack meal featuring Vegan Protein Shake - cooked in traditional Indian style.",115,22.0,4.0,1.5,1.0
125,Vegan,Lunch,"Soya Chunks Curry with Roti","A balanced lunch meal featuring Soya Chunks Curry with Roti - cooked in traditional Indian style.",254,21.0,34.0,4.0,8.0
126,Vegan,Lunch,"Soya Chunks Curry and Jeera Rice and Cabbage Poriyal","A high-protein lunch meal featuring Soya Chunks Curry and Jeera Rice and Cabbage Poriyal - providing excellent macronutrients.",390,22.5,52.0,10.0,10.2
127,Vegan,Dinner,"Toor Dal with Rotis","A nutrient-rich dinner meal featuring Toor Dal with Rotis - perfect for your dietary goals.",318,12.0,61.0,4.0,11.0
128,Vegan,Dinner,"Jeera Aloo with Millet Roti","A home-style dinner meal featuring Jeera Aloo with Millet Roti - prepared with minimal oil.",265,5.5,44.0,6.5,7.0
129,Vegan,Breakfast,"Gobi Paratha","A home-style breakfast meal featuring Gobi Paratha - cooked in traditional Indian style.",220,5.0,33.0,7.0,5.0
130,Vegan,Breakfast,"Oats with Roasted Makhana","A healthy breakfast meal featuring Oats with Roasted Makhana - perfect for your dietary goals.",264,8.0,47.0,5.0,8.0
131,Vegan,Mid Morning Snack,"Roasted Chana","A balanced mid morning snack meal featuring Roasted Chana - perfect for your dietary goals.",120,6.0,18.0,2.0,5.0
132,Vegan,Evening Snack,"Moong Sprouts Salad","A high-protein evening snack meal featuring Moong Sprouts Salad - cooked in traditional Indian style.",120,10.0,18.0,1.0,6.0
133,Vegan,Lunch,"Rajma Curry with Brown Rice (Bowl)","A nutrient-rich lunch meal featuring Rajma Curry with Brown Rice (Bowl) - prepared with minimal oil.",290,11.0,48.0,5.0,11.5
134,Vegan,Lunch,"Toor Dal and Bowls Rice and Baingan Bharta","A balanced lunch meal featuring Toor Dal and Bowls Rice and Baingan Bharta - perfect for your dietary goals.",500,12.0,89.0,9.0,13.0
135,Vegan,Dinner,"Tofu Curry with Brown Rice (Bowl)","A delicious dinner meal featuring Tofu Curry with Brown Rice (Bowl) - providing excellent macronutrients.",290,17.0,28.0,12.0,5.5
136,Vegan,Dinner,"Bhindi Masala with Quinoa (Bowl)","A balanced dinner meal featuring Bhindi Masala with Quinoa (Bowl) - cooked in traditional Indian style.",240,6.4,35.0,8.0,6.8
137,Vegan,Breakfast,"Dalia","A healthy breakfast meal featuring Dalia - cooked in traditional Indian style.",160,4.0,32.0,1.0,5.0
138,Vegan,Breakfast,"Masala Dosa with Roasted Makhana","A nutrient-rich breakfast meal featuring Masala Dosa with Roasted Makhana - providing excellent macronutrients.",370,8.0,62.0,10.0,8.0
139,Vegan,Mid Morning Snack,"Vegan Protein Shake","A high-protein mid morning snack meal featuring Vegan Protein Shake - perfect for your dietary goals.",115,22.0,4.0,1.5,1.0
140,Vegan,Evening Snack,"Roasted Chana","A nutrient-rich evening snack meal featuring Roasted Chana - prepared with minimal oil.",120,6.0,18.0,2.0,5.0
141,Vegan,Lunch,"Rajma Curry with Rotis","A home-style lunch meal featuring Rajma Curry with Rotis - perfect for your dietary goals.",388,14.0,70.0,6.0,14.0
142,Vegan,Lunch,"Toor Dal and Bowls Rice and Mushroom Do Pyaza","A healthy lunch meal featuring Toor Dal and Bowls Rice and Mushroom Do Pyaza - cooked in traditional Indian style.",415,13.0,69.0,8.0,9.5
143,Vegan,Dinner,"Tofu Curry with Bowls Rice","A nutrient-rich dinner meal featuring Tofu Curry with Bowls Rice - cooked in traditional Indian style.",375,17.0,48.0,11.0,3.5
144,Vegan,Dinner,"Cabbage Poriyal with 3 Rotis","A nutrient-rich dinner meal featuring Cabbage Poriyal with 3 Rotis - prepared with minimal oil.",402,11.0,78.0,7.0,13.0
145,Vegan,Breakfast,"Plain Dosa","A nutrient-rich breakfast meal featuring Plain Dosa - providing excellent macronutrients.",133,3.0,23.0,3.0,1.0
146,Vegan,Breakfast,"Plain Dosa with Masala Oats","A nutrient-rich breakfast meal featuring Plain Dosa with Masala Oats - cooked in traditional Indian style.",273,8.0,47.0,6.0,5.0
147,Vegan,Mid Morning Snack,"Cucumber Carrot Salad","A nutrient-rich mid morning snack meal featuring Cucumber Carrot Salad - prepared with minimal oil.",40,1.0,9.0,0.0,3.0
148,Vegan,Evening Snack,"Roasted Makhana","A balanced evening snack meal featuring Roasted Makhana - cooked in traditional Indian style.",110,3.0,20.0,2.0,4.0
149,Vegan,Lunch,"Rajma Curry with Rotis","A healthy lunch meal featuring Rajma Curry with Rotis - providing excellent macronutrients.",388,14.0,70.0,6.0,14.0
150,Vegan,Lunch,"Toor Dal and Roti and Mixed Veg Curry","A delicious lunch meal featuring Toor Dal and Roti and Mixed Veg Curry - cooked in traditional Indian style.",354,13.0,57.0,9.0,13.0
151,Vegan,Dinner,"Lobia Curry with Brown Rice (Bowl)","A high-protein dinner meal featuring Lobia Curry with Brown Rice (Bowl) - cooked in traditional Indian style.",270,10.0,46.0,4.0,10.5
152,Vegan,Dinner,"Bhindi Masala with Bowls Rice","A high-protein dinner meal featuring Bhindi Masala with Bowls Rice - cooked in traditional Indian style.",380,6.0,70.0,6.0,6.0
153,Vegan,Breakfast,"4 Idlis","A home-style breakfast meal featuring 4 Idlis - perfect for your dietary goals.",232,8.0,48.0,0.8,3.0
